country,code,year,kcal_per_day,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017,component,share
Albania,alb,2013,3193,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07443783275916066
Algeria,dza,1990,2754,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.027494553376906317
Algeria,dza,1991,2733,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.026783754116355654
Algeria,dza,1992,2865,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.025870855148342062
Algeria,dza,1993,2865,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.02890052356020942
Algeria,dza,1994,2763,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.028664495114006514
Algeria,dza,1995,2785,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.027001795332136445
Algeria,dza,1996,2784,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.023117816091954024
Algeria,dza,1997,2733,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.02464690815953165
Algeria,dza,1998,2792,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.026088825214899716
Algeria,dza,1999,2843,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.025072106929300036
Algeria,dza,2000,2812,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.026571834992887625
Algeria,dza,2001,2886,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.026694386694386698
Algeria,dza,2002,2925,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.027391452991452993
Algeria,dza,2003,2970,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.026787878787878788
Algeria,dza,2004,2987,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.029206561767659858
Algeria,dza,2005,2958,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.029546991210277217
Algeria,dza,2006,3047,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.028723334427305545
Algeria,dza,2007,3041,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.028819467280499837
Algeria,dza,2008,3048,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.027979002624671918
Algeria,dza,2009,3110,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.02929903536977492
Algeria,dza,2010,3142,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.0286950986632718
Algeria,dza,2011,3217,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.031122163506372397
Algeria,dza,2012,3272,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.03075794621026895
Algeria,dza,2013,3296,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Animal protein share,0.030327669902912618
Angola,ago,1990,1641,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.03773308957952468
Angola,ago,1991,1611,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.029224084419615146
Angola,ago,1992,1625,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.027446153846153846
Angola,ago,1993,1564,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.027033248081841432
Angola,ago,1994,1644,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.024063260340632605
Angola,ago,1995,1687,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.02233550681683462
Angola,ago,1996,1731,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.023408434430964763
Angola,ago,1997,1732,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.024572748267898386
Angola,ago,1998,1752,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.023995433789954338
Angola,ago,1999,1805,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.02404432132963989
Angola,ago,2000,1792,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.026830357142857142
Angola,ago,2001,1833,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.027495908346972176
Angola,ago,2002,1915,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.028971279373368145
Angola,ago,2003,1983,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.027332324760463943
Angola,ago,2004,2030,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.025004926108374383
Angola,ago,2005,2077,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.025517573423206548
Angola,ago,2006,2119,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.026125530910806983
Angola,ago,2007,2173,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.02766682006442706
Angola,ago,2008,2245,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.028543429844097995
Angola,ago,2009,2303,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.02568823273990447
Angola,ago,2010,2345,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.027172707889125798
Angola,ago,2011,2407,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.02878271707519734
Angola,ago,2012,2384,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.03092281879194631
Angola,ago,2013,2473,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Animal protein share,0.029761423372422158
Antigua and Barbuda,atg,1990,2467,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.08995541143088771
Antigua and Barbuda,atg,1991,2532,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.08200631911532386
Antigua and Barbuda,atg,1992,2545,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09079764243614932
Antigua and Barbuda,atg,1993,2376,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.0861952861952862
Antigua and Barbuda,atg,1994,2255,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09113968957871398
Antigua and Barbuda,atg,1995,2188,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09043875685557587
Antigua and Barbuda,atg,1996,2190,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09298630136986301
Antigua and Barbuda,atg,1997,2163,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09566343042071197
Antigua and Barbuda,atg,1998,2154,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09192200557103064
Antigua and Barbuda,atg,1999,2158,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.0915291936978684
Antigua and Barbuda,atg,2000,2150,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.08887441860465117
Antigua and Barbuda,atg,2001,2085,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09154916067146283
Antigua and Barbuda,atg,2002,2069,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09322377960367327
Antigua and Barbuda,atg,2003,2071,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.094543698696282
Antigua and Barbuda,atg,2004,2107,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09084005695301377
Antigua and Barbuda,atg,2005,2331,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09877305877305878
Antigua and Barbuda,atg,2006,2328,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09687285223367698
Antigua and Barbuda,atg,2007,2411,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09821650767316467
Antigua and Barbuda,atg,2008,2380,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.10092436974789916
Antigua and Barbuda,atg,2009,2322,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.10136089577950044
Antigua and Barbuda,atg,2010,2316,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09837651122625216
Antigua and Barbuda,atg,2011,2369,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09671591388771633
Antigua and Barbuda,atg,2012,2293,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09611862189271697
Antigua and Barbuda,atg,2013,2417,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,Animal protein share,0.09405047579644187
Argentina,arg,1990,2911,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08061834421161113
Argentina,arg,1991,3010,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08030564784053155
Argentina,arg,1992,3077,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08295092622684433
Argentina,arg,1993,3116,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08536585365853659
Argentina,arg,1994,3155,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08380348652931853
Argentina,arg,1995,3163,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08112551375276637
Argentina,arg,1996,3156,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.0814955640050697
Argentina,arg,1997,3132,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08256704980842913
Argentina,arg,1998,3163,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08322478659500475
Argentina,arg,1999,3265,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08399387442572741
Argentina,arg,2000,3260,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08310429447852762
Argentina,arg,2001,3212,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08016189290161893
Argentina,arg,2002,2977,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.0733490090695331
Argentina,arg,2003,3009,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.07476237952808243
Argentina,arg,2004,3028,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.07357992073976222
Argentina,arg,2005,3107,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.07848084969423881
Argentina,arg,2006,3114,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08037251123956327
Argentina,arg,2007,3145,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08062321144674085
Argentina,arg,2008,3158,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08091196960101331
Argentina,arg,2009,3132,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08088122605363984
Argentina,arg,2010,3155,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08107765451664026
Argentina,arg,2011,3161,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08269534957291995
Argentina,arg,2012,3197,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08301532686893963
Argentina,arg,2013,3229,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,Animal protein share,0.08292350572932797
Armenia,arm,1990,3372,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.06686832740213523
Armenia,arm,1991,3032,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.06645118733509235
Armenia,arm,1992,2184,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.03468864468864469
Armenia,arm,1993,2099,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.02574559313959028
Armenia,arm,1994,2181,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.03535992663915635
Armenia,arm,1995,2270,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.02884581497797357
Armenia,arm,1996,2320,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.029517241379310347
Armenia,arm,1997,2330,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.030575107296137338
Armenia,arm,1998,2320,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.032
Armenia,arm,1999,2288,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.03354895104895105
Armenia,arm,2000,2236,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.035491949910554564
Armenia,arm,2001,2239,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.03653416703885663
Armenia,arm,2002,2259,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.04180610889774236
Armenia,arm,2003,2432,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.04205592105263158
Armenia,arm,2004,2554,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.0409397024275646
Armenia,arm,2005,2668,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.04505247376311844
Armenia,arm,2006,2757,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.04558578164671745
Armenia,arm,2007,2761,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.0506483158275987
Armenia,arm,2008,2869,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.05398396653886371
Armenia,arm,2009,2819,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.05386307201135154
Armenia,arm,2010,2768,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.05663294797687861
Armenia,arm,2011,2788,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Animal protein share,0.056814921090387376
